order_id, product_name 
1,21 
1,1184 
1,3249 
1,3607 
1,4512 
1,4886 
1,4890 
1,8955 
2,21 
2,1184 
2,3249 
2,4512 
2,4701 
2,4886 
2,4890 
2,6395 
2,7818 
2,8955 
3,21 
3,1184 
3,3249 
3,3607 
3,4512 
3,6395 
3,7818 
3,8955 
4,21 
4,364 
4,1184 
4,3249 
4,3607 
4,3823 
4,4512 
4,4886 
4,4890 
4,7281 
4,7881 
4,8341 
4,8821 
5,656 
5,1605 
5,4701 
5,5986 
5,6311 
5,7274 
5,7281 
5,7818 
5,7881 
5,8484 
5,8821 
6,364 
6,1184 
6,3823 
6,4886 
6,8341 
7,21 
7,656 
7,1184 
7,1605 
7,2025 
7,2487 
7,3813 
7,4512 
7,4886 
7,4890 
7,7274 
7,8484 
8,5986 
8,6311 
8,7281 
8,7881 
8,8821 
9,364 
9,3143 
9,3296 
9,3823 
9,4185 
9,6111 
9,8341 
9,8955 
10,21 
10,1184 
10,4512 
10,4641 
10,4886 
10,4890 
10,7233 
10,9484 
10,9709 
11,21 
11,238 
11,1184 
11,1830 
11,2454 
11,4284 
11,4512 
11,4886 
11,4890 
11,5682 
11,5986 
11,7881 
11,8821 
12,3249 
12,3607 
12,8955 
13,2572 
13,3070 
13,3249 
13,4890 
13,6395 
13,7233 
13,7938 
13,8732 
13,9484 
14,364 
14,2487 
14,3249 
14,3813 
14,3823 
14,4287 
14,4308 
14,4455 
14,7881 
14,8138 
14,8341 
14,8821 
14,8955 
14,9660 
15,656 
15,1605 
15,2025 
15,2487 
15,3249 
15,3813 
15,4641 
15,7233 
15,7274 
15,8484 
15,8846 
15,9484 
15,9709 
16,238 
16,1830 
16,2454 
16,4284 
16,4701 
16,5682 
16,8821 
17,21 
17,364 
17,1184 
17,3823 
17,4512 
17,4886 
17,4890 
17,8341 
18,21 
18,1184 
18,1605 
18,4512 
18,4886 
18,4890 
19,238 
19,1830 
19,2454 
19,2572 
19,4284 
19,4641 
19,7233 
19,8821 
19,9484 
20,21 
20,1184 
20,4512 
20,4886 
21,21 
21,1184 
21,4886 
21,4890 
22,656 
22,1605 
22,2025 
22,2487 
22,2572 
22,3070 
22,3813 
22,4890 
22,7233 
22,7274 
22,8484 
22,8955 
23,238 
23,1605 
23,1830 
23,2025 
23,2454 
23,2487 
23,3249 
23,3813 
23,3823 
23,4284 
23,5016 
23,5225 
23,5682 
23,7274 
23,8341 
23,8484 
23,8821 
23,8955 
24,21 
24,238 
24,1184 
24,1830 
24,2454 
24,4284 
24,4512 
24,4886 
24,4890 
24,5682 
24,8821 
25,21 
25,364 
25,1184 
25,3663 
25,3901 
25,3942 
25,4886 
25,4890 
25,6465 
25,6737 
25,7650 
26,238 
26,532 
26,1830 
26,2454 
26,3249 
26,3921 
26,4284 
26,5185 
26,5682 
26,7029 
26,8821 
26,8955 
26,9573 
27,238 
27,1184 
27,1830 
27,2454 
27,3607 
27,4284 
27,4886 
27,5682 
27,6311 
27,7281 
27,7881 
27,8821 
28,364 
28,3823 
28,8341 
29,364 
29,783 
29,1184 
29,2685 
29,3356 
29,4512 
29,4641 
29,4890 
29,7233 
29,7356 
29,8341 
29,9484 
29,9709 
30,238 
30,1830 
30,2454 
30,4284 
